task_id,task_description,task_status,task_creation_date,fk_employee_id
1137,Проверить корректность данных клиента в CRM и внести правки.,В работе,2022-07-24,982
1138,Уточнить детали инцидента и оформить заявку в техподдержку.,Завершена,2024-07-21,476
1139,Зарегистрировать домен по запросу клиента и уведомить о завершении.,В работе,2023-09-26,16
1140,Решить технический вопрос по авторизации в личном кабинете клиента.,Завершена,2022-07-29,209
1141,Зарегистрировать домен по запросу клиента и уведомить о завершении.,В работе,2022-12-15,909
1142,Провести финальную проверку перед запуском сайта клиента.,Открыта,2022-06-09,977
1143,Провести финальную проверку перед запуском сайта клиента.,Завершена,2023-08-27,902
1144,Провести финальную проверку перед запуском сайта клиента.,В работе,2022-05-10,982
1145,Уточнить детали инцидента и оформить заявку в техподдержку.,Завершена,2023-09-13,112
1146,Проконтролировать продление услуги хостинга и уведомить клиента.,Завершена,2024-03-20,512
1147,Составить и отправить клиенту инструкцию по подключению домена.,В работе,2024-07-23,236
1148,Отметить в CRM завершение настройки почтового сервиса.,В работе,2022-01-15,410
1149,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Завершена,2022-04-28,286
1150,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2022-06-02,521
1151,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Завершена,2024-09-16,520
1152,Созвониться с новым клиентом и уточнить детали подключения услуг.,В работе,2024-08-07,630
1153,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Завершена,2022-06-28,199
1154,Зарегистрировать домен по запросу клиента и уведомить о завершении.,В работе,2022-06-19,244
1155,Настроить почтовый ящик и протестировать отправку/приём сообщений.,В работе,2022-10-14,942
1156,Созвониться с новым клиентом и уточнить детали подключения услуг.,В работе,2024-02-13,925
1157,Помочь клиенту с восстановлением доступа к панели управления.,Завершена,2022-12-24,313
1158,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Открыта,2022-02-26,208
1159,Созвониться с новым клиентом и уточнить детали подключения услуг.,Завершена,2022-03-08,395
1160,Добавить клиента в систему после завершения онлайн-оплаты.,В работе,2024-01-21,1
1161,Добавить клиента в систему после завершения онлайн-оплаты.,Открыта,2025-03-31,66
1162,Помочь клиенту с восстановлением доступа к панели управления.,В работе,2024-06-28,625
1163,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,В работе,2022-03-30,380
1164,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Завершена,2023-09-02,139
1165,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,В работе,2024-02-17,549
1166,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,Открыта,2024-12-29,146
1167,Настроить почтовый ящик и протестировать отправку/приём сообщений.,В работе,2025-03-17,438
1168,Проконтролировать продление услуги хостинга и уведомить клиента.,Завершена,2023-12-21,184
1169,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Завершена,2023-12-08,132
1170,Настроить почтовый ящик и протестировать отправку/приём сообщений.,В работе,2024-12-04,126
1171,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Завершена,2025-03-17,799
1172,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Открыта,2022-03-25,43
1173,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2024-02-13,761
1174,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Открыта,2023-05-11,161
1175,Провести опрос удовлетворённости услугой у нового клиента.,Завершена,2022-05-09,659
1176,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,В работе,2023-07-18,353
1177,Уточнить детали инцидента и оформить заявку в техподдержку.,Открыта,2024-04-21,232
1178,Провести финальную проверку перед запуском сайта клиента.,Завершена,2023-06-29,811
1179,Уточнить детали инцидента и оформить заявку в техподдержку.,Открыта,2023-10-02,336
1180,Уточнить детали инцидента и оформить заявку в техподдержку.,В работе,2022-07-17,13
1181,Подтвердить оплату и активировать заказанный тариф.,Завершена,2022-06-27,101
1182,Провести опрос удовлетворённости услугой у нового клиента.,В работе,2024-07-12,474
1183,Провести опрос удовлетворённости услугой у нового клиента.,В работе,2025-03-13,680
1184,Провести консультацию по выбору тарифа для клиента с большим трафиком.,В работе,2023-10-07,903
1185,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,Открыта,2023-12-19,691
1186,Провести опрос удовлетворённости услугой у нового клиента.,В работе,2022-12-26,632
1187,Уточнить детали инцидента и оформить заявку в техподдержку.,Завершена,2025-01-17,823
1188,Отметить в CRM завершение настройки почтового сервиса.,Завершена,2024-09-09,146
1189,Проконтролировать продление услуги хостинга и уведомить клиента.,Завершена,2023-05-25,526
1190,Подтвердить оплату и активировать заказанный тариф.,В работе,2022-08-26,128
1191,Составить и отправить клиенту инструкцию по подключению домена.,Завершена,2024-06-15,660
1192,Уточнить детали инцидента и оформить заявку в техподдержку.,Открыта,2022-03-05,569
1193,Подтвердить оплату и активировать заказанный тариф.,В работе,2023-03-05,574
1194,Провести консультацию по выбору тарифа для клиента с большим трафиком.,В работе,2022-06-27,733
1195,Решить технический вопрос по авторизации в личном кабинете клиента.,Завершена,2024-06-18,673
1196,Отметить в CRM завершение настройки почтового сервиса.,В работе,2022-11-11,111
1197,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,В работе,2023-07-21,699
1198,Проконтролировать продление услуги хостинга и уведомить клиента.,Завершена,2022-11-19,749
1199,Помочь клиенту с восстановлением доступа к панели управления.,Завершена,2024-02-10,945
1200,Зарегистрировать домен по запросу клиента и уведомить о завершении.,В работе,2024-11-04,467
1201,Провести опрос удовлетворённости услугой у нового клиента.,В работе,2023-01-31,925
1202,Провести опрос удовлетворённости услугой у нового клиента.,Открыта,2023-02-18,862
1203,Созвониться с новым клиентом и уточнить детали подключения услуг.,Завершена,2022-09-15,392
1204,Проконтролировать продление услуги хостинга и уведомить клиента.,Завершена,2024-12-16,285
1205,Помочь клиенту с восстановлением доступа к панели управления.,В работе,2022-08-14,995
1206,Уточнить детали инцидента и оформить заявку в техподдержку.,Открыта,2022-09-16,557
1207,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Завершена,2022-12-24,99
1208,Провести финальную проверку перед запуском сайта клиента.,Завершена,2023-12-29,362
1209,Провести опрос удовлетворённости услугой у нового клиента.,Открыта,2023-07-15,226
1210,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Открыта,2023-01-23,381
1211,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Открыта,2023-05-03,792
1212,Отметить в CRM завершение настройки почтового сервиса.,Открыта,2023-09-30,402
1213,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2023-11-26,121
1214,Проверить корректность данных клиента в CRM и внести правки.,Завершена,2023-02-24,123
1215,Добавить клиента в систему после завершения онлайн-оплаты.,Завершена,2022-03-26,314
1216,Согласовать перенос времени техработ на сервере по просьбе клиента.,В работе,2023-11-07,143
1217,Провести опрос удовлетворённости услугой у нового клиента.,Открыта,2022-06-26,932
1218,Помочь клиенту с восстановлением доступа к панели управления.,В работе,2024-09-01,650
1219,Добавить клиента в систему после завершения онлайн-оплаты.,Открыта,2025-01-23,559
1220,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Завершена,2024-05-21,851
1221,Подтвердить оплату и активировать заказанный тариф.,Завершена,2023-06-06,240
1222,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2022-12-12,213
1223,Настроить почтовый ящик и протестировать отправку/приём сообщений.,В работе,2022-10-27,757
1224,Помочь клиенту с восстановлением доступа к панели управления.,Завершена,2023-08-16,884
1225,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,В работе,2024-02-09,357
1226,Согласовать перенос времени техработ на сервере по просьбе клиента.,В работе,2024-10-31,940
1227,Провести опрос удовлетворённости услугой у нового клиента.,Завершена,2024-10-19,357
1228,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Завершена,2025-02-26,240
1229,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Завершена,2023-05-22,418
1230,Составить и отправить клиенту инструкцию по подключению домена.,В работе,2023-03-17,328
1231,Провести финальную проверку перед запуском сайта клиента.,Открыта,2023-07-28,505
1232,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,В работе,2022-08-12,28
1233,Проверить корректность данных клиента в CRM и внести правки.,В работе,2022-09-01,292
1234,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Открыта,2024-03-29,635
1235,Составить и отправить клиенту инструкцию по подключению домена.,В работе,2023-05-16,263
1236,Провести финальную проверку перед запуском сайта клиента.,В работе,2023-01-07,319
1237,Подтвердить оплату и активировать заказанный тариф.,В работе,2024-09-30,618
1238,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Завершена,2022-07-09,314
1239,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Открыта,2023-10-23,15
1240,Созвониться с новым клиентом и уточнить детали подключения услуг.,В работе,2024-09-24,252
1241,Подтвердить оплату и активировать заказанный тариф.,В работе,2022-02-22,861
1242,Проверить корректность данных клиента в CRM и внести правки.,Открыта,2024-02-02,662
1243,Добавить клиента в систему после завершения онлайн-оплаты.,Открыта,2024-08-12,125
1244,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Завершена,2022-03-17,970
1245,Провести опрос удовлетворённости услугой у нового клиента.,В работе,2024-12-23,823
1246,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Завершена,2022-01-11,960
1247,Провести финальную проверку перед запуском сайта клиента.,Открыта,2023-10-05,902
1248,Проверить корректность данных клиента в CRM и внести правки.,В работе,2023-02-17,503
1249,Согласовать перенос времени техработ на сервере по просьбе клиента.,В работе,2023-07-17,834
1250,Подтвердить оплату и активировать заказанный тариф.,В работе,2022-08-17,857
1251,Провести финальную проверку перед запуском сайта клиента.,В работе,2024-03-24,890
1252,Проконтролировать продление услуги хостинга и уведомить клиента.,Открыта,2023-07-07,361
1253,Подтвердить оплату и активировать заказанный тариф.,Открыта,2023-02-28,576
1254,Помочь клиенту с восстановлением доступа к панели управления.,В работе,2025-03-01,82
1255,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Завершена,2023-01-11,784
1256,Проконтролировать продление услуги хостинга и уведомить клиента.,В работе,2023-06-03,710
1257,Провести финальную проверку перед запуском сайта клиента.,В работе,2023-04-18,797
1258,Провести финальную проверку перед запуском сайта клиента.,В работе,2024-01-01,30
1259,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Открыта,2024-04-13,182
1260,Провести финальную проверку перед запуском сайта клиента.,Открыта,2024-02-06,584
1261,Созвониться с новым клиентом и уточнить детали подключения услуг.,В работе,2023-11-03,79
1262,Проконтролировать продление услуги хостинга и уведомить клиента.,В работе,2023-07-26,773
1263,Провести опрос удовлетворённости услугой у нового клиента.,Открыта,2024-12-14,491
1264,Проверить корректность данных клиента в CRM и внести правки.,В работе,2025-02-11,876
1265,Провести финальную проверку перед запуском сайта клиента.,В работе,2022-12-06,470
1266,Проконтролировать продление услуги хостинга и уведомить клиента.,Открыта,2022-05-04,140
1267,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,В работе,2023-11-10,611
1268,Решить технический вопрос по авторизации в личном кабинете клиента.,Открыта,2022-05-31,119
1269,Провести финальную проверку перед запуском сайта клиента.,В работе,2024-08-02,639
1270,Провести финальную проверку перед запуском сайта клиента.,В работе,2023-08-21,823
1271,Согласовать перенос времени техработ на сервере по просьбе клиента.,Открыта,2024-09-28,139
1272,Решить технический вопрос по авторизации в личном кабинете клиента.,Открыта,2023-08-29,605
1273,Проконтролировать продление услуги хостинга и уведомить клиента.,Открыта,2024-01-23,653
1274,Отметить в CRM завершение настройки почтового сервиса.,В работе,2024-01-12,867
1275,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,В работе,2024-10-28,754
1276,Уточнить детали инцидента и оформить заявку в техподдержку.,В работе,2024-05-30,444
1277,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Завершена,2023-06-30,822
1278,Решить технический вопрос по авторизации в личном кабинете клиента.,В работе,2024-02-25,280
1279,Уточнить детали инцидента и оформить заявку в техподдержку.,Завершена,2025-02-10,628
1280,Созвониться с новым клиентом и уточнить детали подключения услуг.,Завершена,2023-05-22,863
1281,Проконтролировать продление услуги хостинга и уведомить клиента.,Завершена,2024-06-25,182
1282,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2024-03-28,335
1283,Согласовать перенос времени техработ на сервере по просьбе клиента.,Завершена,2023-05-29,499
1284,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2024-04-19,715
1285,Уточнить детали инцидента и оформить заявку в техподдержку.,Завершена,2022-07-24,326
1286,Добавить клиента в систему после завершения онлайн-оплаты.,Завершена,2022-01-14,39
1287,Проверить корректность данных клиента в CRM и внести правки.,Открыта,2025-03-19,314
1288,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2022-06-27,17
1289,Отметить в CRM завершение настройки почтового сервиса.,Завершена,2022-06-21,252
1290,Подтвердить оплату и активировать заказанный тариф.,Открыта,2022-04-05,659
1291,Созвониться с новым клиентом и уточнить детали подключения услуг.,Открыта,2025-02-26,396
1292,Помочь клиенту с восстановлением доступа к панели управления.,Открыта,2024-05-07,765
1293,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2022-04-27,25
1294,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Открыта,2024-12-28,801
1295,Зарегистрировать домен по запросу клиента и уведомить о завершении.,В работе,2023-03-23,774
1296,Подтвердить оплату и активировать заказанный тариф.,В работе,2024-01-19,15
1297,Созвониться с новым клиентом и уточнить детали подключения услуг.,Открыта,2024-05-10,181
1298,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2022-06-13,241
1299,Подтвердить оплату и активировать заказанный тариф.,В работе,2024-01-13,741
1300,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Завершена,2024-05-05,642
1301,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Завершена,2024-01-17,883
1302,Подтвердить оплату и активировать заказанный тариф.,В работе,2024-11-28,664
1303,Проверить корректность данных клиента в CRM и внести правки.,Открыта,2022-08-23,146
1304,Провести финальную проверку перед запуском сайта клиента.,Открыта,2023-09-30,532
1305,Составить и отправить клиенту инструкцию по подключению домена.,Завершена,2023-06-12,325
1306,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,В работе,2022-11-18,625
1307,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Завершена,2023-04-28,467
1308,Провести финальную проверку перед запуском сайта клиента.,Открыта,2023-09-30,558
1309,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Завершена,2024-02-03,638
1310,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Открыта,2025-01-19,402
1311,Проверить корректность данных клиента в CRM и внести правки.,В работе,2023-04-13,428
1312,Добавить клиента в систему после завершения онлайн-оплаты.,Завершена,2023-05-06,122
1313,Согласовать перенос времени техработ на сервере по просьбе клиента.,В работе,2024-12-24,514
1314,Помочь клиенту с восстановлением доступа к панели управления.,Открыта,2024-07-09,101
1315,Отметить в CRM завершение настройки почтового сервиса.,В работе,2023-08-17,60
1316,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Завершена,2023-11-26,843
1317,Добавить клиента в систему после завершения онлайн-оплаты.,Завершена,2023-12-08,813
1318,Решить технический вопрос по авторизации в личном кабинете клиента.,Завершена,2023-05-30,242
1319,Подтвердить оплату и активировать заказанный тариф.,В работе,2022-01-05,191
1320,Отметить в CRM завершение настройки почтового сервиса.,В работе,2022-09-11,956
1321,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Открыта,2024-01-07,61
1322,Провести опрос удовлетворённости услугой у нового клиента.,Открыта,2022-02-22,675
1323,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Завершена,2024-01-10,817
1324,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2022-08-30,561
1325,Созвониться с новым клиентом и уточнить детали подключения услуг.,Открыта,2024-03-30,427
1326,Созвониться с новым клиентом и уточнить детали подключения услуг.,Завершена,2024-01-23,514
1327,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Открыта,2023-12-14,554
1328,Согласовать перенос времени техработ на сервере по просьбе клиента.,В работе,2024-02-14,109
1329,Провести опрос удовлетворённости услугой у нового клиента.,В работе,2022-06-18,116
1330,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2023-11-15,885
1331,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2024-09-28,534
1332,Проконтролировать продление услуги хостинга и уведомить клиента.,Завершена,2023-05-29,318
1333,Провести финальную проверку перед запуском сайта клиента.,В работе,2023-06-20,81
1334,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2023-12-13,364
1335,Подтвердить оплату и активировать заказанный тариф.,В работе,2023-09-18,370
1336,Провести финальную проверку перед запуском сайта клиента.,Завершена,2023-02-02,869
1337,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,Открыта,2023-05-21,917
1338,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Открыта,2024-12-04,423
1339,Провести финальную проверку перед запуском сайта клиента.,В работе,2022-08-27,767
1340,Отметить в CRM завершение настройки почтового сервиса.,Открыта,2022-02-01,98
1341,Решить технический вопрос по авторизации в личном кабинете клиента.,В работе,2024-02-18,266
1342,Отметить в CRM завершение настройки почтового сервиса.,Открыта,2022-06-24,615
1343,Созвониться с новым клиентом и уточнить детали подключения услуг.,В работе,2022-03-19,617
1344,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Открыта,2022-02-11,346
1345,Провести финальную проверку перед запуском сайта клиента.,Завершена,2024-02-13,690
1346,Согласовать перенос времени техработ на сервере по просьбе клиента.,Завершена,2022-06-15,244
1347,Помочь клиенту с восстановлением доступа к панели управления.,Завершена,2024-05-26,249
1348,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,В работе,2022-07-10,820
1349,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Открыта,2025-03-02,400
1350,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,Открыта,2024-10-02,735
1351,Проконтролировать продление услуги хостинга и уведомить клиента.,В работе,2023-02-21,800
1352,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Открыта,2022-05-12,910
1353,Согласовать перенос времени техработ на сервере по просьбе клиента.,Завершена,2024-11-15,334
1354,Уточнить детали инцидента и оформить заявку в техподдержку.,Открыта,2023-03-18,274
1355,Провести опрос удовлетворённости услугой у нового клиента.,Завершена,2023-01-28,798
1356,Провести опрос удовлетворённости услугой у нового клиента.,Открыта,2024-09-24,720
1357,Созвониться с новым клиентом и уточнить детали подключения услуг.,Открыта,2024-08-07,878
1358,Проконтролировать продление услуги хостинга и уведомить клиента.,Завершена,2024-06-22,395
1359,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2023-01-14,45
1360,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,В работе,2022-02-21,843
1361,Добавить клиента в систему после завершения онлайн-оплаты.,В работе,2023-12-09,697
1362,Подтвердить оплату и активировать заказанный тариф.,В работе,2022-09-25,365
1363,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Открыта,2023-02-13,600
1364,Добавить клиента в систему после завершения онлайн-оплаты.,Завершена,2023-07-08,797
1365,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Завершена,2024-01-20,111
1366,Помочь клиенту с восстановлением доступа к панели управления.,В работе,2022-08-08,964
1367,Помочь клиенту с восстановлением доступа к панели управления.,Открыта,2024-10-10,758
1368,Созвониться с новым клиентом и уточнить детали подключения услуг.,Завершена,2024-06-25,788
1369,Провести финальную проверку перед запуском сайта клиента.,В работе,2025-03-15,523
1370,Созвониться с новым клиентом и уточнить детали подключения услуг.,Завершена,2023-11-23,912
1371,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2022-06-14,449
1372,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Завершена,2022-03-09,392
1373,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Открыта,2025-03-11,771
1374,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Открыта,2024-04-26,275
1375,Созвониться с новым клиентом и уточнить детали подключения услуг.,Завершена,2022-10-08,322
1376,Проверить корректность данных клиента в CRM и внести правки.,Открыта,2022-03-28,442
1377,Созвониться с новым клиентом и уточнить детали подключения услуг.,Завершена,2024-08-19,342
1378,Согласовать перенос времени техработ на сервере по просьбе клиента.,Открыта,2022-09-22,172
1379,Отметить в CRM завершение настройки почтового сервиса.,В работе,2022-05-17,813
1380,Отметить в CRM завершение настройки почтового сервиса.,В работе,2023-01-08,608
1381,Подтвердить оплату и активировать заказанный тариф.,В работе,2022-03-23,511
1382,Проконтролировать продление услуги хостинга и уведомить клиента.,Завершена,2023-02-01,96
1383,Созвониться с новым клиентом и уточнить детали подключения услуг.,В работе,2022-07-28,483
1384,Составить и отправить клиенту инструкцию по подключению домена.,Открыта,2022-11-07,897
1385,Уточнить детали инцидента и оформить заявку в техподдержку.,Открыта,2024-06-26,326
1386,Подтвердить оплату и активировать заказанный тариф.,Открыта,2024-07-31,138
1387,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,Открыта,2023-10-08,933
1388,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,В работе,2023-11-16,954
1389,Провести опрос удовлетворённости услугой у нового клиента.,Открыта,2023-09-04,905
1390,Провести опрос удовлетворённости услугой у нового клиента.,В работе,2025-02-25,127
1391,Составить и отправить клиенту инструкцию по подключению домена.,В работе,2024-02-05,824
1392,Уточнить детали инцидента и оформить заявку в техподдержку.,В работе,2024-06-29,294
1393,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Завершена,2023-10-26,108
1394,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Открыта,2024-06-05,139
1395,Провести опрос удовлетворённости услугой у нового клиента.,Завершена,2023-02-15,739
1396,Провести финальную проверку перед запуском сайта клиента.,Завершена,2022-12-15,370
1397,Проверить корректность данных клиента в CRM и внести правки.,Завершена,2023-07-07,165
1398,Отметить в CRM завершение настройки почтового сервиса.,Завершена,2023-06-07,894
1399,Провести финальную проверку перед запуском сайта клиента.,Завершена,2022-02-03,943
1400,Настроить почтовый ящик и протестировать отправку/приём сообщений.,В работе,2024-03-14,609
1401,Решить технический вопрос по авторизации в личном кабинете клиента.,Завершена,2024-05-06,11
1402,Проконтролировать продление услуги хостинга и уведомить клиента.,В работе,2023-04-10,161
1403,Уточнить детали инцидента и оформить заявку в техподдержку.,Завершена,2024-05-11,813
1404,Помочь клиенту с восстановлением доступа к панели управления.,Открыта,2024-11-18,250
1405,Уточнить детали инцидента и оформить заявку в техподдержку.,Завершена,2025-03-05,376
1406,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Открыта,2023-01-05,19
1407,Зарегистрировать домен по запросу клиента и уведомить о завершении.,В работе,2022-05-01,22
1408,Согласовать перенос времени техработ на сервере по просьбе клиента.,В работе,2022-08-25,405
1409,Уточнить детали инцидента и оформить заявку в техподдержку.,В работе,2023-02-12,69
1410,Провести финальную проверку перед запуском сайта клиента.,В работе,2025-01-10,709
1411,Проконтролировать продление услуги хостинга и уведомить клиента.,В работе,2022-04-18,952
1412,Уточнить детали инцидента и оформить заявку в техподдержку.,В работе,2022-02-03,748
1413,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Открыта,2023-05-07,282
1414,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Завершена,2024-07-25,604
1415,Провести финальную проверку перед запуском сайта клиента.,В работе,2024-06-02,653
1416,Решить технический вопрос по авторизации в личном кабинете клиента.,Открыта,2022-04-24,790
1417,Провести опрос удовлетворённости услугой у нового клиента.,Завершена,2022-05-24,944
1418,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Открыта,2024-04-25,427
1419,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2025-02-11,100
1420,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Открыта,2025-02-10,345
1421,Решить технический вопрос по авторизации в личном кабинете клиента.,В работе,2022-10-15,68
1422,Провести финальную проверку перед запуском сайта клиента.,В работе,2022-07-16,122
1423,Провести финальную проверку перед запуском сайта клиента.,Завершена,2023-11-19,759
1424,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,В работе,2025-02-23,38
1425,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Завершена,2024-08-27,543
1426,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Открыта,2024-11-11,27
1427,Уточнить детали инцидента и оформить заявку в техподдержку.,Открыта,2025-03-11,137
